EudraCT_No,Title,Phase,Objective,End_date,Sample_size,pr_endpoint,endpoint_description,Treatment,LT_followup,manual_label
2014-001703-41,phase 2 multi centre open label study evaluate efficacy safety wtx101 administered 24 week newly diagnosed wilson disease patient aged 18 older extension phase 36 month,2,primary objective evaluate efficacy alxn1840 formerly wtx101 24 week non ceruloplasmin bound copper ncc concentration adjusted molybdenum mo plasma concentration participant newly diagnosed wilson disease wd aged 18 older ncc concentration within reference range time enrolment study,07-Nov-18,29,percentage participant normalized concentration ncc,normalized concentration ncc defined achieving maintaining normalized level ncc 0 8 2 3 micromole mol l liter l adjusted molybdenum mo plasma concentration reaching reduction least 25 ncc corrected mo normal reference range time enrollment ncc calculated subtracting amount copper cu bound ceruloplasmin cp total plasma cu concentration post baseline ncc value adjusted corrected account cu bound tripartite complex alxn1840 albumin descriptive statistic reported,ALXN1840,No,2
2014-001101-40,sclero xiii phase ii double blind randomized placebo controlled study investigate pharmacokinetics pk safety efficacy intravenous factor xiii treatment patient systemic sclerosis,ii,1 identify effect factor xiii treatment clinical manifestation sleroderma ssc 2 investigate factor xiii safety 3 measure individual factor xiii level patient ssc 4 measure effect factor xiii treatment factor xiii pk parameter 5 explore effect factor xiii thrombospondin expression,06-Sep-18,26,skin involvement,skin involvement measured modified rodnan skin score,"FibrogamminÂ®P, coagulation factor XIII concentrate (Human)",No,0
2011-005529-34,double blind placebo controlled randomized parallel group 12 month safety efficacy trial leuco methylthioninium bi hydromethanesulfonate subject behavioral variant frontotemporal dementia bvftd,0,demonstrate efficacy leuco methylthioninium bi hydromethanesulfonate hereafter referred inn hydromethylthionine mesylate assessed change baseline addenbrookeâ cognitive examination revised ace r functional activity questionnaire faq reduction decline whole brain volume measured brain boundary shift integral bbsi magnetic resonance imaging mri subject probable bvftd,22-Feb-16,220,change baseline week 52 addenbrooke cognitive examination revised ace r,nan,Hydromethylthionine mesylate,No,0
2016-001403-23,open label randomized 12 week study comparing efficacy levodopa carbidopa intestinal gel carbidopa levodopa enteral suspension optimized medical treatment dyskinesia subject advanced parkinson disease,0,primary objective phase 3b open label randomized multicenter 12 week study examine effect levodopa carbidopa intestinal gel lcig compared optimized medical treatment omt dyskinesia participant advanced parkinson disease pd study consisted 3 sequential period screening treatment follow omt group schedule visit procedure throughout study lcig treatment group except visit related nasojejunal nj percutaneous endoscopic gastrostomy peg procedure titration lcig follow period,19-Sep-19,63,mean change baseline week 12 unified dyskinesia rating scale udysrs total score,unified dyskinesia rating scale udysrs tool used as dyskinesia parkinson disease pd contains self evaluation question item assessed directly physician objectively rate abnormal movement associated pd part 1 contains 11 question time dyskinesia impact dyskinesia experience daily living part 2 contains 4 question dystonia rating part 3 contains 7 question objective evaluation dyskinesia impairment part 4 contains 4 question regarding dyskinesia disability question scored respect severity rated scale 0 normal 1 slight 2 mild 3 moderate 4 severe udysrs total score obtained summing item score ranging 0 104 higher score associated disability negative change baseline indicate improvement,Levodopa-Carbidopa Intestinal Gel (LCIG),No,1
2012-005283-97,randomized open label phase 3 study carfilzomib melphalan prednisone versus bortezomib melphalan prednisone transplant ineligible patient newly diagnosed multiple myeloma,3,primary objective compare progression free survival transplant ineligible patient newly diagnosed multiple myeloma treated carfilzomib melphalan prednisone cmp velcadeâ bortezomib melphalan prednisone vmp,04-Nov-16,955,progression free survival pfs,progression free survival defined time randomization earlier documented disease progression death due cause pfs analyzed using kaplan meier method duration pfs censored participant baseline post baseline disease assessment started new anti cancer therapy documentation disease progression death death disease progression missed disease assessment 100 consecutive day longer alive without documentation disease progression data cutoff date including lost follow prior disease progression participant evaluated disease response progression according international myeloma working group uniform response criterion imwg urc determined centrally using validated computer algorithm blinded manner,Carfilzomib,Yes,2
2014-004902-13,12 week multicenter randomized parallel group study as safety tolerability pharmacokinetics biomarker effect efficacy effect microglia activation measured positron emission tomography azd3241 subject multiple system atrophy,0,primary objective study â as safety tolerability azd3241 subject msa â determine effect azd3241 microglia activation measured 11c pbr28 binding subject msa,29-Sep-16,59,striatum brain region change baseline microglia activation via positron emission tomography pet,striatum brain region change baseline microglia activation via pet 11c pbr28 binding translocator protein looking decrease total distribution volume,Placebo (to match AZD3241),No,2
2013-002987-17,apollo phase 3 multicenter multinational randomized double blind placebo controlled study evaluate efficacy safety patisiran aln ttr02 transthyretin ttr mediated polyneuropathy familial amyloidotic polyneuropathy fap,3,determine efficacy patisiran lnp aln ttr02 evaluating difference patisiran placebo group change baseline mnis 7 score 18 month,17-Aug-17,225,modified neuropathy impairment score 7 mnis 7,difference patisiran aln ttr02 placebo group change baseline mnis 7 18 month mnis 7 composite score quantitates motor sensory autonomic neurologic impairment due injury large small nerve,Patisiran,No,0
2018-003519-24,open label study evaluate safety efficacy pharmacokinetics pk patisiran lnp patient hereditary transthyretin mediated amyloidosis hattr amyloidosis disease progression post orthotopic liver transplant,0,purpose study evaluate efficacy safety patisiran subject hereditary transthyretin mediated amyloidosis hattr amyloidosis disease progression liver transplant,20-Oct-20,23,average month 6 month 12 percentage reduction baseline serum transthyretin ttr,serum ttr assessed using enzyme linked immunosorbent assay elisa analysis population subject safety analysis set subject received amount patisiran post baseline ttr assessment collected within 24 day inclusive receiving complete dose patisiran,Patisiran,No,2
2016-003417-95,multi centre randomized double blind sponsor open placebo controlled repeat dose proof mechanism study evaluate safety tolerability pharmacokinetics pharmacodynamics explore efficacy gsk2330811 participant diffuse cutaneous systemic sclerosis,0,evaluate safety tolerability repeat subcutaneous do gsk2330811 participant diffuse cutaneous systemic sclerosis dcssc,07-Jul-20,35,number participant non serious adverse event non saes serious adverse event saes,adverse event ae untoward medical occurrence clinical study participant temporally associated use study treatment whether considered related study treatment sae defined untoward medical occurrence result death life threatening requires inpatient hospitalization prolongation existing hospitalization result persistent disability incapacity congenital anomaly birth defect situation judged physician saes collected day 197 protocol also allowed investigator report saes occurring participant completed study outcome measure includes two saes reported participant completed study occurring day 306 day 603 following first dose safety population consisted randomized participant taken least 1 dose study treatment,Placebo,No,0
2016-002411-17,multicenter randomized subject blind investigator blind placebo controlled parallel group study evaluating efficacy safety tolerability rozanolixizumab subject chronic inflammatory demyelinating polyradiculoneuropathy cidp,0,evaluate clinical efficacy rozanolixizumab treatment participant chronic inflammatory demyelinating polyradiculoneuropathy cidp,31-Mar-21,34,change baseline week 13 day 85 inflammatory rasch built overall disability scale irods score,irods linearly weighted patient reported endpoint questionnaire capture activity social participation limitation participant cidp consisted 24 item as participant ability perform daily social activity participant 3 response option 0 impossible perform 1 performed difficulty 2 easily performed performed without difficulty raw sum score irods range 0 48 0 worse 48 best translated log odds unit logits scale placing estimate logit scale score range 6 95 severe activity social participation restriction 8 11 activity social participation limitation positive change associated better outcome le disease activity social activity full analysis set participant received least 1 dose treatment baseline post baseline irods measurement week 13 day 85 premature end treatment inclusively,Placebo,Yes,1
2017-000372-29,title multicenter randomized double blind placebo controlled phase 3 trial evaluate efficacy safety lenabasum diffuse cutaneous systemic sclerosis design phase 3 2 part randomised double blind placebo controlled multicentre interventional parallel dose study part followed open label extension study part b as efficacy safety lenabasum subject diffuse cutaneous systemic sclerosis dcssc part subject randomised receive blinded study product lenabasum 5 mg twice daily bid 20 mg bid placebo 52 week subject treated study product completed part 31 day treatment withdrawal period rolled part b part b open label subject received powder capsule lenabasum 20 mg bid 2 year,3,part country except japan primary efficacy objective evaluate efficacy lenabasum compared placebo treatment ssc assessing american college rheumatology acr provisional combined response index diffuse cutaneous systemic sclerosis criss score visit 11 week 52 comparing lenabasum 20 mg twice per day bid placebo cohort japan primary efficacy objective change mr visit 11 week 52 comparing lenabasum 20 mg bid placebo cohort part b evaluate efficacy safety lenabasum treatment dcssc evaluating change criss end open label follow period part b compared part baseline part b subject treated lenabasum 20 mg twice daily bid,14-Dec-20,365,acr criss score improvement probability part,nan,Lenabasum 5 mg BID,No,0
2016-003094-18,phase 2b open label single arm study selinexor kpt 330 plus low dose dexamethasone sd patient multiple myeloma previously treated lenalidomide pomalidomide bortezomib carfilzomib daratumumab refractory prior treatment glucocorticoid immunomodulatory agent proteasome inhibitor anti cd38 mab daratumumab,2b,primary purpose study evaluate efficacy selinexor 80 mg po plus low dose dexamethasone 20 mg po sd day 1 3 twice weekly subject penta exposed triple class refractory mm enrolled part 2 study,26-Jul-19,202,part 2 percentage subject overall response rate orr per international myeloma working group imwg assessed independent review committee irc,irc assessed orr per 2016 imwg criterion percentage subject experienced partial response pr 50 reduction serum protein reduction 24 hour urinary protein 90 lesser 200mg per 24 hour good partial response vgpr serum urine protein detectable immunofixation electrophoresis 90 greater reduction serum protein plus urine protein level 100mg per 24 hour complete response cr negative immunofixation serum urine disappearance soft tissue plasmacytoma 5 plasma cell bone marrow stringent complete response scr cr defined normal free light chain flc ratio absence clonal cell bone marrow biopsy immunohistochemistry modified intent treat mitt population part 2 subject penta refractory mm met eligibility criterion received least one dose study treatment,Selinexor,No,2
2013-005558-31,international multicentre efficacy safety study i10e maintenance treatment patient chronic inflammatory demyelinating polyradiculoneuropathy extension prism study i10e 1302,0,primary objective as efficacy i10e administered reduced maintenance dose sustaining cidp response initial 6 month treatment prism study,28-Jul-17,19,responder rate,responder rate eos visit based adjusted incat disability score analysed since study early terminated responder defined subject either change decrease adjusted incat disability score without change cidp treatment baseline eos visit increase 1 point adjusted incat disability score without requirement change cidp treatment baseline eos visit,IQYMUNE,No,0
2013-005525-23,phase 3 study comparing daratumumab lenalidomide dexamethasone drd v lenalidomide dexamethasone rd subject relapsed refractory multiple myeloma,3,main objective trial compare efficacy daratumumab combined lenalidomide dexamethasone drd lenalidomide dexamethasone rd term progression free survival pfs subject relapsed refractory multiple myeloma,30-Sep-21,569,progression free survival pfs,pfs time randomisation progressive disease pd death pd 1 criterion 25 increase serum protein level lowest response value absolute increase 0 5 gram per deciliter g dl 25 increase 24hours h urinary light chain excretion urine protein lowest response value absolute increase 200mg 24h subject without measurable serum urine protein level 25 increase difference involved uninvolved free light chain level lowest response value absolute increase 10 mg dl increase existing bone lesion soft tissue plasmacytoma size development new bone lesion soft tissue plasmacytoma development hypercalcemia corrected serum calcium 11 5mg dl attributed plasma cell proliferative disorder intent treat subject randomly assigned drd rd group 99999 median upper lower limit 95 ci drd arm upper limit 95 ci rd arm estimable due short follow subject,Lenalidomide,No,2
2016-000359-29,double blind randomized placebo controlled two arm multi center study as efficacy safety nightly formulation sodium oxybate extended release oral suspension ft218 treatment excessive daytime sleepiness cataplexy subject narcolepsy,0,primary objective compare efficacy 6 0 7 5 9 0 g ft218 placebo treating excessive daytime sleepiness ed type 1 narcolepsy nt1 type 2 narcolepsy nt2 subject measured mean sleep latency maintenance wakefulness test mwt clinical global impression cgi rating sleepiness compare efficacy 6 0 7 5 9 0 g ft218 placebo treating cataplexy nt1 subject measured number cataplexy attack nca determined cataplexy frequency item sleep symptom daily diary,25-Mar-20,212,maintainence wakefulness test mwt,mwt mean latency across 5 nap averaged test day,Once Nightly Sodium Oxybate - Granules for oral suspension,No,0
2017-000763-33,phase 1b 2 open label study evaluating safety tolerability pharmacokinetics pharmacodynamics efficacy efavaleukin alfa adult subject steroid refractory chronic graft versus host disease,1b2,primary objective trial evaluate safety tolerability multiple ascending do efavaleukin alfa participant steroid refractory chronic graft versus host disease cgvhd order estimate maximum tolerated dose mtd establish recommended phase 2 dose rp2d phase 1b portion trial completed phase 2 never opened,13-Oct-22,32,phase 1b number participant experienced dose limiting toxicity dlt,dlt defined non hematological toxicity grade 4 per common terminology criterion adverse event ctcae v4 03 related efavaleukin alfa non hematological lab abnormality without clinical significance considered dlts hematological toxicity grade 4 related efavaleukin alfa defined decrease peripheral count absolute neutrophil count platelet persisting longer 72 hr measured 2 separate result related malignant disease relapse infection etiology constitutional event ie fever fatigue grade 3 classified serious adverse event investigator related efavaleukin alfa infection considered expected complication chronic graft versus host disease cgvhd treatment grade 4 5 infection considered investigator related efavaleukin alfa reviewed dose level review meeting determine whether considered dlt,Efavaleukin alfa,No,0
2015-005443-14,prospective double blind randomized multicenter phase iii study evaluating efficacy safety three different dosage newgam patient chronic inflammatory demyelinating poly radiculo neuropathy,iii,primary provide confirmatory data effect 1 0 g kg newgam every three week patient active cidp based percentage responder week 24 corroborate existing evidence efficacy igiv cidp known published literature,05-Sep-19,142,decrease inflammatory neuropathy cause treatment incat disability score 1 0 g kg group,efficacy proportion responder 1 0 g kg newgam arm week 24 termination visit relative baseline week 0 responder defined patient decrease least 1 point adjusted inflammatory neuropathy cause treatment incat disability score scale 0 10 healthy unable make purposeful movement arm leg,NewGam,No,0
2014-001353-16,randomized double blind placebo controlled phase ii study investigate efficacy safety riociguat patient diffuse cutaneous systemic sclerosis dcssc,ii,as efficacy riociguat administered 3 time day tid compared placebo term change mr baseline week 52,28-Mar-19,121,change baseline modified rodnan skin score mr week 52,mr validated physical examination method estimating skin thickness correlate biopsy measure collagen dermis reflects prognosis visceral involvement especially early disease scored 0 normal 3 severe induration ordinal scale 17 body area maximum score 51 higher score mean worse situation used categorize severity ssc decrease mean change mr show mr improved,Riociguat,No,0
2017-003595-30,treat_ccm clinical trial multicenter randomized clinical trial propranolol familial cerebral cavernous malformation,0,test whether chronic treatment propranolol reduce burden cerebrovascular lesion clinical event symptom patient familial ccm,31-Dec-21,83,occurrence new clinically symptomatic intra cerebral haemorrhage focal neurological deficit attributable ccm 24 month,primary outcome occurrence new clinically symptomatic intra cerebral haemorrhage focal neurological deficit attributable ccm 24 month,propranol,No,2
2015-001910-88,open label intrapatient dose escalation study evaluate safety tolerability immunogenicity biological activity atyr1940 patient limb girdle facioscapulohumeral muscular dystrophy,0,evaluate safety tolerability immunogenicity weekly twice weekly intravenous iv administration atyr1940 do 0 3 1 0 3 0 mg kg patient limb girdle muscular dystrophy 2b lgmd2b dysferlinopathy facioscapulohumeral muscular dystrophy fshd,05-Oct-16,18,hematocrit,nan,ATYR1940,No,2
2013-003190-99,evaluation use oral direct anti xa anticoagulant apixaban prevention venous thromboembolic disease patient treated imids myeloma pilot study,0,evaluate incidence venous thromboembolic event vte incidence hemorrhagic complication population patient myeloma treated imids require thromboprophylaxis 6 month using oral anti xa anticoagulant apixaban preventive scheme 2 5 mg x2 day,08-Aug-16,108,evaluate incidence venous thromboembolic event incidence hemorrhagic complication,total venous thromboembolism fatal nonfatal pe symptomatic distal proximal dvt lower limb asymptomatic proximal dvt detected bilateral compression ultrasound vte related death major clinically relevant nonmajor bleeding,Apixaban,No,0
2017-002754-36,effect oral levosimendan odm 109 respiratory function patient al,0,primary objective study confirm levosimendan significantly improve respiratory function measured supine slow vital capacity svc amyotrophic lateral sclerosis al patient,26-Jun-20,496,change baseline 12 week supine svc,nan,levosimendan,No,1
2016-000750-35,two part seamless multi center randomized placebo controlled double blind study investigate safety tolerability pharmacokinetics pharmacodynamics efficacy risdiplam ro7034067 type 2 3 spinal muscular atrophy patient,0,part 1 evaluate safety tolerability pharmacokinetics pk pharmacodynamics pd risdiplam subject type 2 type 3 ambulant non ambulant sma select dose part 2 study part 2 evaluate efficacy risdiplam compared placebo term motor function type 2 non ambulant type 3 sma subject assessed change baseline total score motor function measure mfm 12 month,02-Oct-23,231,part 1 selected part 2 dose risdiplam participant body weight bw 20kg,internal monitoring committee imc responsible selecting dose part 2 study pivotal dose external independent data monitoring committee idmc reviewed data part 1 confirmed dose selection decision imc dose part 2 selected imc dose 1 judged safe well tolerated based available safety data part 1 confirmed idmc 2 resulted exposure steady state exposure cap mean value auc0 24h 2000 ng h ml adjusted free fraction required 3 resulted smn protein increase expected clinically relevant,risdiplam,No,2
2015-000149-22,phase 3 randomized double blind placebo controlled study ly2951742 patient episodic cluster headache,3,main purpose study evaluate efficacy safety study drug known galcanezumab participant episodic cluster headache,04-Jun-18,106,overall mean change baseline number weekly cluster headache attack,number cluster headache attack recorded daily study participant epro diary overall mean change baseline derived average week 1 3 mixed model repeated measure mmrm analysis least square l mean calculated using mmrm model treatment sex pooled investigative site week baseline treatment week fixed effect analysis population description apd randomized participant received least one dose study drug baseline least one post baseline measurement,Placebo,No,0
2019-003607-35,phase 2 24 week adaptive open label sequential cohort trial evaluate efficacy safety tolerability pharmacokinetics pf 06730512 following multiple do adult subject focal segmental glomerulosclerosis fsgs,2,evaluate efficacy pf 06730512 compared baseline reduction proteinuria following 12 week treatment subject fsgs,14-Feb-23,47,percentage change baseline urinary protein creatinine ratio upcr based 24 hour urine collection week 13,upcr ratio two measured substance urine milligram protein per millimole mmol creatinine reported unit mg mmol decrease upcr may associated improved renal cardiovascular function full analysis set fa defined enrolled subject received least one dose study treatment least one post baseline measurement upcr based 24 hour urine collection number subject analysed signifies subject evaluable endpoint,PF-06730512,No,2
2011-005280-24,double blind randomized multicenter placebo controlled parallel group study evaluate efficacy safety fingolimod 0 5 mg administered orally daily versus placebo patient chronic inflammatory demyelinating polyradiculoneuropathy cidp due eudract system limitation ema aware data using 999 data point record accurate representation clinical trial result please use http www novctrd com ctrdweb home novfor complete trial result,0,primary objective study evaluate effect fingolimod 0 5 mg daily compared placebo delaying disability progression patient cidp measured time first confirmed worsening adjusted inflammatory neuropathy cause treatment incat disability scale confirmed worsening defined increase 1 point adjusted incat disability scale value baseline due eudract system limitation ema aware data using 999 data point record accurate representation clinical trial result please use http www novctrd com ctrdweb home novfor complete trial result,01-Sep-16,106,time first confirmed worsening adjusted inflammatory neuropathy cause treatment incat disability scale,confirmed worsening cidp measured adjusted incat disability scale adjusted incat disability scale measure arm disability leg disability arm disability scale range 0 upper limb problem 5 inability use either arm purposeful movement leg disability scale range 0 walking affected 5 restricted wheelchair unable stand walk step help total adjusted incat disability score calculated sum arm leg disability score total score range 0 10 confirmed worsening defined increase 1 point adjusted incat disability scale value baseline,Fingolimod,No,0
2015-001150-15,serendem study md1003 patient suffering demyelinating neuropathy open label pilot study,0,main objective detect signal efficacy high dose biotin demyelinating polyneuropathies,18-Mar-19,15,number patient least 10 improvement least 2 4 criterion demyelination,nan,MD1003,No,0
2018-004243-23,randomized open label phase ii study evaluating ramucirumab pediatric patient young adult relapsed recurrent refractory synovial sarcoma,iii,study conducted test safety efficacy ramucirumab combination chemotherapy treatment relapsed recurrent refractory synovial sarcoma child young adult trial part campfire master protocol platform accelerate development new treatment pediatric young adult participant cancer participation trial could last 12 month longer depending tumor respond,23-Feb-23,23,progression free survival pfs,pfs defined time randomization first investigator determined objective progression defined response evaluation criterion solid tumor version 1 1 recist v1 1 death cause absence progressive disease participant known alive without disease progression censored time last adequate tumor assessment date randomization whichever later analysis population description randomized participant including censored participant number participant censored ramucirumab gemcitabine docetaxel 4 gemcitabine docetaxel 2,Ramucirumab,No,2
2016-000426-20,double blind placebo controlled randomized withdrawal multicenter study efficacy safety jzp 258 subject narcolepsy cataplexy,0,evaluate efficacy jzp 258 treatment cataplexy excessive daytime sleepiness ed subject narcolepsy,10-Jul-19,201,change average weekly number cataplexy attack,subject completed daily cataplexy frequency diary night prior bedtime subject record number cataplexy attack day,JZP-258,No,0
2014-002940-42,randomized double blind placebo controlled study investigate efficacy safety cannabidiol gwp42003 p cbd adjunctive treatment seizure associated lennox gastaut syndrome child adult,0,primary objective study evaluate efficacy gwp42003 p adjunctive treatment reducing number drop seizure compared placebo participant lennox gastaut syndrome lgs,19-May-16,225,percentage change baseline drop seizure frequency treatment period,drop seizure recorded participant caregiver using interactive voice response system ivrs diary drop seizure defined subset tonic clonic tonic atonic seizure reported drop seizure ivrs percentage change baseline calculated frequency treatment period frequency baseline frequency baseline x 100 frequency period based 28 day average calculated number seizure period number reported day ivrs period x 28 baseline included available data prior day 1 28 day average negative percentage show improvement baseline,GWP42003-P,Yes,0
2016-003833-91,randomized double blind placebo controlled trial investigating efficacy safety intravenous neridronic acid subject complex regional pain syndrome crp,0,demonstrate superior efficacy cumulative dose 400 mg intravenous neridronic acid versus placebo treatment crp related pain,31-Jul-19,182,change baseline week 12 average pain intensity score weekly average pain value recorded daily electronic diary,baseline phase treatment period follow period 1 subject asked assessed average crp related pain 11 point numerical rating scale nrs 0 pain 10 pain bad imagine report daily evening 24 hour recall electronic diary change baseline average baseline phase weekly average week 12 calculated full analysis set e subject treated treatment period data available time last subject following premature trial termination,Neridronate acid,No,1
2019-000968-18,phase 3 randomized double blind placebo controlled study evaluating efficacy safety rozanolixizumab adult patient generalized myasthenia gravis,3,demonstrate clinical efficacy rozanolixizumab participant generalized myasthenia gravis mg,26-Oct-21,200,change baseline day 43 myasthenia gravis activity daily living mg adl score,myasthenia gravis activity daily living mg adl 8 item patient reported outcome pro instrument developed basis quantitative myasthenia gravis qmg mg adl targeted symptom disability across ocular bulbar respiratory axial symptom total mg adl score obtained summing response individual item 8 item grade 0 1 2 3 0 represents symptom impaired performance 3 represents severe symptom impaired performance total score range 0 24 higher score indicating disability positive change score indicates worsening negative change indicates improvement randomized set consisted study participant randomized analyzed according treatment assigned instead actual treatment received,Placebo,Yes,0
2019-000969-21,randomized open label extension study investigate long term safety tolerability efficacy rozanolixizumab adult patient generalized myasthenia gravis,0,evaluate long term safety tolerability rozanolixizumab study participant generalized myasthenia gravis mg,01-Sep-21,71,percentage participant treatment emergent adverse event teaes,teae defined ae starting time first administration investigational medicinal product imp unresolved event already present first administration imp worsened intensity following exposure imp 8 week last dose imp study participant discontinued study imp safety set consisted randomized study participant received least 1 dose imp study endpoint planned analyzed using recent dose received e recent dose received ae onset participant switched do counted rozanolixizumab rlz do,Rozanolixizumab,Yes,0
2016-003858-33,randomized phase 3 study am0010 combination folfox compared folfox alone second line therapy patient metastatic pancreatic cancer progressed following first line gemcitabine containing regimen,3,compare efficacy pegilodecakin combination folfox versus folfox alone participant metastatic pancreatic cancer measured overall survival,05-Mar-20,567,overall survival,overall survival defined time date randomization date death due cause participant whose last known status alive data cutoff date analysis time censored last contact date prior data cutoff date analysis population included randomized participant number participant censored pegilodecakin folfox 63 folfox 73,Pegilodecakin,Yes,0
2014-004982-25,phase ii open label dose escalation study investigate safety pharmacokinetics pharmacodynamics clinical activity gsk525762 subject nut midline carcinoma nmc cancer,iii,determine safety tolerability maximum tolerated dose mtd gsk525762 subject 16 year older following qd bid dosing schedule evaluate clinical activity gsk525762 nmc solid tumor u clinical site evaluate single dose administration relative bioavailability gsk525762 besylate tablet compared amorphous free base tablet effect high fat high calorie meal bioavailability besylate tablet dose proportionality two do gsk525762 administered besylate tablet,,196,number participant adverse event aes serious adverse event saes part 1 qd,ae untoward medical occurrence participant clinical investigation participant temporally associated use medicinal product whether considered related medicinal product sae untoward medical occurrence dose result death life threatening requires hospitalization prolongation existing hospitalization result disability incapacity congenital anomaly birth defect important medical event may require medical surgical intervention prevent one outcome mentioned event possible study treatment induced liver injury hyperbilirubinemia new primary cancer significant cardiac dysfunction grade 4 laboratory abnormality drug related hepatobiliary event leading permanent discontinuation study treatment,GSK525762,No,0
2018-002133-37,long term single arm open label multicenter phase 3 follow trial argx 113 1704 evaluate safety tolerability argx 113 patient myasthenia gravis generalized muscle weakness,3,evaluate long term safety tolerability efgartigimod anti acetylcholine receptor antibody achr ab seropositive participant,30-Jun-22,145,number participant treatment emergent adverse event teaes,ae untoward medical occurrence clinical study participant temporally associated use study treatment whether considered related study treatment clinically significant abnormal laboratory test result hematology clinical chemistry urinalysis safety assessment electrocardiogram ecg radiological scan vital sign measurement collected aes aes starting first dosing considered teaes serious ae sae ae resulted death life threatening required inpatient hospitalization resulted persistent significant disability incapacity congenital abnormality medically significant safety analysis set consisted participant rolled argx 113 1704 received 1 dose part dose efg study participant achr positive status included analysis,Efgartigimod,No,0
2015-001589-25,multicenter open label single arm study evaluate long term safety tolerability effectiveness 10 mg kg bid olesoxime patient spinal muscular atrophy,0,main objective open label single arm study characterize safety tolerability effectiveness profile olesoxime spinal muscular atrophy sma,18-Dec-18,131,percentage participant adverse event aes serious adverse event saes,nan,Olesoxime,No,0
2015-002142-31,randomized double blind placebo controlled study evaluate efficacy safety sage 547 injection treatment subject super refractory status epilepticus,0,primary objective study determine response 144 hour 6 day continuous intravenous iv infusion sage 547 injection hereafter referred â sage 547â compared placebo administered support weaning continuous third line agent adult paediatric subject super refractory status epilepticus srse response endure least 24 hour cessation sage 547 placebo infusion primary response status epilepticus se life threatening condition involves persistent recurring seizure srse severe form se continues recurs despite 24 hour anesthetic third line agent subject srse admitted intensive care unit icu placed medically induced coma included study subject critically ill due variety comorbid condition status epilepticus mean 17 6 day prior receiving study drug,11-Aug-17,132,percentage subject able weaned third line agent prior end double blind sage 547 placebo infusion,third line agent tlas anaesthetic agent administered order reach seizure burst suppression electroencephalogram eeg pattern study third line agent defined continuous intravenous infusion pentobarbital thiopental midazolam propofol ketamine maintenance do alone combination sufficient produce burst seizure suppression pattern eeg responder subject able weaned third line agent prior end sage 547 placebo infusion remain third line agent 24 hour end study drug infusion primary analysis comparison sage 547 placebo proportion responder intent treat analysis set included subject infusion blinded study drug initiated,Placebo,No,0
2012-003308-10,phase 3 randomized double blind study tivantinib arq 197 subject met diagnostic high inoperable hepatocellular carcinoma hcc treated one prior systemic therapy,3,evaluate overall survival among subject intent treat itt population compared placebo,,383,rate overall survival within 36 month,defined time randomization date death e length time start treatment patient still alive rate percentage patient still alive determined efficacy analysis set intent treat 120 mg bid cohort every 3 month 36 month,Tivantinib,Yes,0
2015-000424-28,phase iii multicenter randomized double blind placebo controlled parallel group study as efficacy safety tocilizumab versus placebo patient systemic sclerosis,iii,as efficacy safety tocilizumab compared placebo subject systemic sclerosis ssc,04-Feb-19,210,change modified rodnan skin score mr double blind period,efficacy tcz v placebo evaluated term mean change mr skin thickness assessed palpation rated using mr range 0 normal 3 severe skin thickening across 17 different body site total score sum individual skin score site range 0 51 unit analysis conducted intent treat itt population e participant randomized received study drug,placebo,Yes,0
2019-003076-39,phase 2 trial investigate efficacy safety tolerability efgartigimod ph20 sc adult patient chronic inflammatory demyelinating polyneuropathy cidp,2,stage as activity efgartigimod ph20 sc efgartigimod co formulated recombinant human hyaluronidase ph20 rhuph20 based percentage patient classified treatment responder stage b determine efficacy efgartigimod ph20 sc compared placebo based time needed first evidence clinical deterioration,11-May-23,322,stage b time first occurrence clinical deterioration hazard ratio,hazard ratio time first adjusted incat deterioration comparing efgartigimod ph20 sc placebo ph20 sc,efgartigimod PH20 SC,No,0
2014-003997-18,multi center randomized double blind placebo controlled study evaluate efficacy safety immune globulin human 10 caprylate chromatography purified igiv c symptomatic subject generalized myasthenia gravis,0,evaluate efficacy immune globulin human 10 caprylate chromatography purified igiv c subject generalized myasthenia gravis mg standard care treatment study entry term improvement mg symptom measured mean change quantitative myasthenia gravis qmg total score baseline week 0 week 24 compared placebo,26-Jan-18,62,mean change qmg total score baseline week 24,efficacy igiv c evaluated subject mg assessment change baseline week 0 week 24 qmg total score qmg consists 13 test item graded according level symptom none 0 mild 1 moderate 2 severe 3 score individual item added together total score ranging 0 least severe symptom 39 severe symptom data presented last observation carried forward locf modified intent treat mitt population baseline defined last non missing measurement taken prior first dose ip,IGIV-C,No,0
2018-000757-49,randomized double blind placebo controlled phase 3 study evaluate efficacy safety qpi 1002 prevention major adverse kidney event make subject high risk acute kidney injury aki following cardiac surgery,3,â primary objective as efficacy single intravenous iv infusion qpi 1002 preventing major adverse kidney event make subject high risk acute kidney injury aki following cardiac surgery â secondary objective as safety tolerability iv infusion qpi 1002 comparison placebo administered subject high risk aki following cardiac surgery,30-Mar-21,1043,subject 45 year old developing make90,primary efficacy endpoint defined proportion subject 45 year old develop component make90 defined either death day 90 initiation renal replacement therapy rrt day 90 25 reduction egfr day 90 visit primary analysis egfr based serum cystatin c egfrcys estimated gfr based serum creatinine egfrcreat used sensitivity analysis,QPI-1002,No,0
